question,answer
"How to buy a product?","You can buy products by adding them to your cart and completing the checkout process securely."
"How long is the delivery process?","Delivery usually takes 2–5 working days depending on your location."
"How to request a refund?","You can request a refund within 7 days through your order history page or by contacting customer support."
"Is Cash on Delivery available?","Yes, Cash on Delivery (COD) is available for selected regions and products."
"How can I track my order?","You can track your order from the “My Orders” page after logging in."
"How to cancel an order?","You can cancel your order before it is shipped by visiting the order details page."
"Can I return a product?","Yes, returns are accepted within 14 days if the item is unused and in original condition."
"Do I need an account to place an order?","You can browse products without an account, but you must sign up or log in to complete a purchase."
"What payment methods are accepted?","We accept various payment methods including credit/debit cards, bank transfers, e-wallets, and COD for eligible areas."
"Is my payment information secure?","Yes, all payments are processed through encrypted gateways to ensure your information is safe."
"How can I contact customer service?","You can reach customer service via live chat, email, or the Contact Us page available on our website."
"What should I do if I receive a damaged item?","Please contact customer support within 3 days of receiving your order. We will assist with return or replacement."
"Can I change my delivery address after placing an order?","If your order hasn’t shipped yet, you can update the delivery address in the order details page or by contacting support."
"Do you offer international shipping?","Currently, we ship within Indonesia only. International shipping will be available soon."
"Are there shipping fees?","Shipping fees vary depending on your location and will be shown during checkout."
"Can I get free shipping?","Yes, we offer free shipping for orders above Rp500.000 or during special promotions."
"How to apply a discount code?","Enter your discount or promo code during checkout in the “Voucher” section before payment."
"Can I combine multiple discount codes?","Only one discount code can be applied per order unless otherwise stated in the promotion terms."
"What if my payment fails?","If your payment fails, please check your bank account balance or try another payment method. You can also contact support for help."
"Do you provide gift wrapping?","Yes, gift wrapping is available for an additional fee at checkout."
"Can I pre-order an item?","Yes, some items allow pre-ordering. The estimated shipping date will be displayed on the product page."
"How do I know if a product is in stock?","The product availability is shown on each product page. Out-of-stock items cannot be added to your cart."
"What happens if an item is out of stock after I order?","If the item becomes unavailable, we will notify you and process a full refund automatically."
"Do you provide invoices for purchases?","Yes, invoices are automatically sent via email after your order is confirmed."
"Can I change my order after it’s placed?","Once the order is confirmed, modifications are limited. Contact support as soon as possible."
"Do you offer express delivery?","Yes, express delivery is available for selected cities with additional fees."
"How to check my refund status?","You can track your refund status from the “Refund Requests” section in your account."
"When will I receive my refund?","Refunds are usually processed within 3–7 business days after approval."
"How do I create an account?","Click “Sign Up” on the top-right corner, enter your details, and verify your email to activate your account."
"I forgot my password, what should I do?","Click “Forgot Password?” on the login page and follow the instructions sent to your email."
"Can I update my personal information?","Yes, go to your profile settings and update your details anytime."
"Do you have a loyalty or membership program?","Yes, registered members earn points for every purchase that can be redeemed for discounts."
"How can I subscribe to the newsletter?","You can subscribe by entering your email address at the bottom of our homepage to receive updates and promotions."
"Is there a mobile app available?","Yes, our official mobile app is available on Google Play Store and Apple App Store."
"How do I report a technical issue on the website?","If you experience errors, please report the issue via our “Feedback” form or contact our support team."
"Can I share my feedback about a product?","Yes, you can leave a rating and review on the product page after receiving your order."
"How do I know if a product is authentic?","We only sell genuine products sourced directly from verified brands and distributors."
"What are your operating hours?","Our customer support operates from 08.00–22.00 WIB, Monday to Sunday."
"Do you offer installment payment options?","Yes, installment options are available for select banks and payment partners."
"What if I don't receive my order?","If your order hasn’t arrived after the estimated delivery time, please contact support to investigate."
